Task,Type,TopicNo,Question,SeedQuestion
TransmissionEnvironment,Topic,1,"Range of incubation periods for the disease in humans (and how this varies across age and health status) and how long individuals are contagious, even after recovery.",
TransmissionEnvironment,Topic,2,"Prevalence of asymptomatic shedding and transmission (e.g., particularly children).",
TransmissionEnvironment,Topic,3,Seasonality of transmission.,
TransmissionEnvironment,Topic,4,"Physical science of the coronavirus (e.g., charge distribution, adhesion to hydrophilic/phobic surfaces, environmental survival to inform decontamination efforts for affected areas and provide information about viral shedding).",
TransmissionEnvironment,Topic,5,"Persistence and stability on a multitude of substrates and sources (e.g., nasal discharge, sputum, urine, fecal matter, blood).",
TransmissionEnvironment,Topic,6,"Persistence of virus on surfaces of different materials (e,g., copper, stainless steel, plastic).",
TransmissionEnvironment,Topic,7,Natural history of the virus and shedding of it from an infected person,
TransmissionEnvironment,Topic,8,Implementation of diagnostics and products to improve clinical processes,
TransmissionEnvironment,Topic,9,"Disease models, including animal models for infection, disease and transmission",
TransmissionEnvironment,Topic,10,Tools and studies to monitor phenotypic change and potential adaptation of the virus,
TransmissionEnvironment,Topic,11,Immune response and immunity,
TransmissionEnvironment,Topic,12,Effectiveness of movement control strategies to prevent secondary transmission in health care and community settings,
TransmissionEnvironment,Topic,13,Effectiveness of personal protective equipment (PPE) and its usefulness to reduce risk of transmission in health care and community settings,
TransmissionEnvironment,Topic,14,Role of the environment in transmission,
RiskFactors,Topic,1,Data on potential risks factors,
RiskFactors,Topic,2,"Smoking, pre-existing pulmonary disease",
RiskFactors,Topic,3,Co-infections (determine whether co-existing respiratory/viral infections make the virus more transmissible or virulent) and other co-morbidities,
RiskFactors,Topic,4,Neonates and pregnant women,
RiskFactors,Topic,5,Socio-economic and behavioral factors to understand the economic impact of the virus and whether there were differences.,
RiskFactors,Topic,6,"Transmission dynamics of the virus, including the basic reproductive number, incubation period, serial interval, modes of transmission and environmental factors",
RiskFactors,Topic,7,"Severity of disease, including risk of fatality among symptomatic hospitalized patients, and high-risk patient groups",
RiskFactors,Topic,8,Susceptibility of populations,
RiskFactors,Topic,9,Public health mitigation measures that could be effective for control,
GeneticOrigin,Topic,1,Real-time tracking of whole genomes and a mechanism for coordinating the rapid dissemination of that information to inform the development of diagnostics and therapeutics and to track variations of the virus over time.,Real time tracking of genetic or genome or genomic evolution or variation or mutation or phylogenetic tree and rapid dissemination or sharing of that data or information for vaccine or treatment or therapeutics
GeneticOrigin,Topic,2,"Access to geographic and temporal diverse sample sets to understand geographic distribution and genomic differences, and determine whether there is more than one strain in circulation. Multi-lateral agreements such as the Nagoya Protocol could be leveraged.","Access to geographic, region or country genetic samples to understand geographic and genomic differences to understand the different virus strains and mutations. Could use Nagoya"
GeneticOrigin,Topic,3,"Evidence that livestock could be infected (e.g., field surveillance, genetic sequencing, receptor binding) and serve as a reservoir after the epidemic appears to be over. Evidence of whether farmers are infected, and whether farmers could have played a role in the origin.
Surveillance of mixed wildlife- livestock farms for SARS-CoV-2 and other coronaviruses in Southeast Asia.
Experimental infections to test host range for this pathogen.",Animals infected or serve as carrier or a virus reservoir or origin both wildlife or domesticated pets. Farmers on mixed wildlife livestock farms infected or role in origin. What is the host range for virus or zoonotic pathogens or zoonoses
GeneticOrigin,Topic,4,Animal host(s) and any evidence of continued spill-over to humans,Animal carrier or host of zoonotic virus or zoonoses and spill over or spillover to human or animal to human transmission
GeneticOrigin,Topic,5,Socioeconomic and behavioral risk factors for this spill-over,Risk of animal to human or zoonotic or zoonoses transmission due to social or socioeconomic or behaviour or behavioural factors
GeneticOrigin,Topic,6,Sustainable risk reduction strategies,Strategy or measures to reduce or mitigate or prevent risk of zoonotic virus evolution or transmission from animal to humans
Vaccines,Topic,1,Effectiveness of drugs being developed and tried to treat COVID-19 patients.,
Vaccines,Topic,2,"Clinical and bench trials to investigate less common viral inhibitors against COVID-19 such as naproxen, clarithromycin, and minocyclinethat that may exert effects on viral replication.",
Vaccines,Topic,3,Methods evaluating potential complication of Antibody-Dependent Enhancement (ADE) in vaccine recipients.,
Vaccines,Topic,4,Exploration of use of best animal models and their predictive value for a human vaccine.,
Vaccines,Topic,5,"Capabilities to discover a therapeutic (not vaccine) for the disease, and clinical effectiveness studies to discover therapeutics, to include antiviral agents.",
Vaccines,Topic,6,"Alternative models to aid decision makers in determining how to prioritize and distribute scarce, newly proven therapeutics as production ramps up. This could include identifying approaches for expanding production capacity to ensure equitable and timely distribution to populations in need.",
Vaccines,Topic,7,Efforts targeted at a universal coronavirus vaccine.,
Vaccines,Topic,8,Efforts to develop animal models and standardize challenge studies,
Vaccines,Topic,9,Efforts to develop prophylaxis clinical studies and prioritize in healthcare workers,
Vaccines,Topic,10,Approaches to evaluate risk for enhanced disease after vaccination,
Vaccines,Topic,11,"Assays to evaluate vaccine immune response and process development for vaccines, alongside suitable animal models [in conjunction with therapeutics]",
NonPharmaceutical,Topic,1,"Guidance on ways to scale up NPIs in a more coordinated way (e.g., establish funding, infrastructure and authorities to support real time, authoritative (qualified participants) collaboration with all states to gain consensus on consistent guidance and to mobilize resources to geographic areas where critical shortfalls are identified) to give us time to enhance our health care delivery system capacity to respond to an increase in cases.",Ways to scale nonpharmaceutical interventions such as social or physical distancing  and collaboration with all states with consistent guidance or communication to help flatten the curve or gain time to increase healthcare capacity
NonPharmaceutical,Topic,2,Rapid design and execution of experiments to examine and compare NPIs currently being implemented. DHS Centers for Excellence could potentially be leveraged to conduct these experiments.,Methods or methodology or experiments to examine and compare effectiveness or efficacy of nonpharmaceutical interventions
NonPharmaceutical,Topic,3,"Rapid assessment of the likely efficacy of school closures, travel bans, bans on mass gatherings of various sizes, and other social distancing approaches.",Assessment or comparison of social or physical distancing measures or policy
NonPharmaceutical,Topic,4,"Methods to control the spread in communities, barriers to compliance and how these vary among different populations..",Nonpharmaceutical intervention or social distancing compliance among different groups demographics
NonPharmaceutical,Topic,5,"Models of potential interventions to predict costs and benefits that take account of such factors as race, income, disability, age, geographic location, immigration status, housing status, employment status, and health insurance status.","Economic cost and benefit of nonpharmaceutical interventions with demographic factors such  as race, income, immigration, housing, age, health insurance"
NonPharmaceutical,Topic,6,Policy changes necessary to enable the compliance of individuals with limited resources and the underserved with NPIs.,Nonpharmaceutical interventions and the poor or people in poverty or low income or socio economic status
NonPharmaceutical,Topic,7,"Research on why people fail to comply with public health advice, even if they want to do so (e.g., social or financial costs may be too high).",Compliance with public health advice and measures or ability to social distance socio economic reasons
NonPharmaceutical,Topic,8,"Research on the economic impact of this or any pandemic. This would include identifying policy and programmatic alternatives that lessen/mitigate risks to critical government services, food distribution and supplies, access to critical household supplies, and access to health diagnoses, treatment, and needed care, regardless of ability to pay.","Economic cost of pandemic and government budget or stimulus or employment measures. Social services, food distribution and supply, access to critical household supplies, and access to health diagnoses, treatment, and needed care, needs based"
MedicalCare,Task,0,What has been published about medical care? What has been published concerning surge capacity and nursing homes? What has been published concerning efforts to inform allocation of scarce resources? What do we know about personal protective equipment? What has been published concerning alternative methods to advise on disease management? What has been published concerning processes of care? What do we know about the clinical characterization and management of the virus?,
MedicalCare,Topic,1,Resources to support skilled nursing facilities and long term care facilities.,
MedicalCare,Topic,2,Mobilization of surge medical staff to address shortages in overwhelmed communities,
MedicalCare,Topic,3,Age-adjusted mortality data for Acute Respiratory Distress Syndrome (ARDS) with/without other organ failure – particularly for viral etiologies,
MedicalCare,Topic,4,Extracorporeal membrane oxygenation (ECMO) outcomes data of COVID-19 patients,
MedicalCare,Topic,5,Outcomes data for COVID-19 after mechanical ventilation adjusted for age.,
MedicalCare,Topic,6,"Knowledge of the frequency, manifestations, and course of extrapulmonary manifestations of COVID-19, including, but not limited to, possible cardiomyopathy and cardiac arrest.",
MedicalCare,Topic,7,"Application of regulatory standards (e.g., EUA, CLIA) and ability to adapt care to crisis standards of care level.",
MedicalCare,Topic,8,"Approaches for encouraging and facilitating the production of elastomeric respirators, which can save thousands of N95 masks.",
MedicalCare,Topic,9,"Best telemedicine practices, barriers and faciitators, and specific actions to remove/expand them within and across state boundaries.",
MedicalCare,Topic,10,Guidance on the simple things people can do at home to take care of sick people and manage disease.,
MedicalCare,Topic,11,Oral medications that might potentially work.,
MedicalCare,Topic,12,"Use of AI in real-time health care delivery to evaluate interventions, risk factors, and outcomes in a way that could not be done manually.",
MedicalCare,Topic,13,"Best practices and critical challenges and innovative solutions and technologies in hospital flow and organization, workforce protection, workforce allocation, community-based support resources, payment, and supply chain management to enhance capacity, efficiency, and outcomes.",
MedicalCare,Topic,14,"Efforts to define the natural history of disease to inform clinical care, public health interventions, infection prevention control, transmission, and clinical trials",
MedicalCare,Topic,15,Efforts to develop a core clinical outcome set to maximize usability of data across a range of trials,
MedicalCare,Topic,16,"Efforts to determine adjunctive and supportive interventions that can improve the clinical outcomes of infected patients (e.g. steroids, high flow oxygen)",
DiagnosticsSurveillance,Topic,1,"How widespread current exposure is to be able to make immediate policy recommendations on mitigation measures. Denominators for testing and a mechanism for rapidly sharing that information, including demographics, to the extent possible. Sampling methods to determine asymptomatic disease (e.g., use of serosurveys (such as convalescent samples) and early detection of disease (e.g., use of screening of neutralizing antibodies such as ELISAs).","Early surveillance and detection of spread of disease including asymptomatic subclinical autochthonous carriers reservoir. Testing and sampling and information sharing to help mitigation and containment , use of screening of neutralizing antibodies such as ELISA serological"
DiagnosticsSurveillance,Topic,2,Efforts to increase capacity on existing diagnostic platforms and tap into existing surveillance platforms.,Improve or increase or build capability or capacity of diagnostic and surveillance systems or platforms
DiagnosticsSurveillance,Topic,3,"Recruitment, support, and coordination of local expertise and capacity (public, private—commercial, and non-profit, including academic), including legal, ethical, communications, and operational issues.","Expanding diagnostic and testing capacity through recruitment support and coordination of local expertise, public, private, commercial, nonprofit or academic. Legal, ethical and operational issues for testing and diagnostic"
DiagnosticsSurveillance,Topic,4,"National guidance and guidelines about best practices to states (e.g., how states might leverage universities and private laboratories for testing purposes, communications to public health officials and the public).",Guidance and guidelines for states to leverage and use and utilize college university and private lab laboratories for testing. Communications to public health agencies and officials and the  public
DiagnosticsSurveillance,Topic,5,"Development of a point-of-care test (like a rapid influenza test) and rapid bed-side tests, recognizing the tradeoffs between speed, accessibility, and accuracy.","Rapid diagnostic tests kits for use outside of lab or at point of care based either on detection of proteins from the COVID-19 virus in respiratory samples (e.g. sputum, throat swab) or detection, in blood or serum, of human antibodies generated in response to infection, and speed or accuracy tradeoff"
DiagnosticsSurveillance,Topic,6,"Rapid design and execution of targeted surveillance experiments calling for all potential testers using PCR in a defined area to start testing and report to a specific entity. These experiments could aid in collecting longitudinal samples, which are critical to understanding the impact of ad hoc local interventions (which also need to be recorded).",Collection and aggregation of diagnostic and testing results for test and diagnostics using polymerase chain reaction or PCR to understand impact of local interventions
DiagnosticsSurveillance,Topic,7,"Separation of assay development issues from instruments, and the role of the private sector to help quickly migrate assays onto those devices.",
DiagnosticsSurveillance,Topic,8,"Efforts to track the evolution of the virus (i.e., genetic drift or mutations) and avoid locking into specific reagents and surveillance/detection schemes.",
DiagnosticsSurveillance,Topic,9,"Latency issues and when there is sufficient viral load to detect the pathogen, and understanding of what is needed in terms of biological and environmental sampling.",Virus detection or diagnosis with low viral load and biological or environmental samples
DiagnosticsSurveillance,Topic,10,"Use of diagnostics such as host response markers (e.g., cytokines) to detect early disease or predict severe disease progression, which would be important to understanding best clinical practice and efficacy of therapeutic interventions.","Host response markers (e.g., cytokines) to detect early disease or predict severe disease progression or severity to help treatment"
DiagnosticsSurveillance,Topic,11,Policies and protocols for screening and testing.,"Policy, protocol, strategy for diagnostic screening, and testing for virus or symptoms"
DiagnosticsSurveillance,Topic,12,"Policies to mitigate the effects on supplies associated with mass testing, including swabs and reagents.",Mitigate or fix bottlenecks for testing or diagnostic supplies such as swabs and reagents.
DiagnosticsSurveillance,Topic,13,Technology roadmap for diagnostics.,Technology and research advances or innovation or improvements in diagnostics or testing or detection 
DiagnosticsSurveillance,Topic,14,"Barriers to developing and scaling up new diagnostic tests (e.g., market forces), how future coalition and accelerator models (e.g., Coalition for Epidemic Preparedness Innovations) could provide critical funding for diagnostics, and opportunities for a streamlined regulatory environment.",Scale by increasing or boosting FDA approval of diagnostics or virus detection tests or emergency use amendment or use accelerator models or provide funding for diagnostics or streamline regulations
DiagnosticsSurveillance,Topic,15,"New platforms and technology (e.g., CRISPR) to improve response times and employ more holistic approaches to COVID-19 and future diseases.","Platform, technology, innovation for rapid testing, dagnostic applicable to multiple coronaviruses, including CRISPR"
DiagnosticsSurveillance,Topic,16,Coupling genomics and diagnostic testing on a large scale.,Large scale genomics and diagnostic testing
DiagnosticsSurveillance,Topic,17,Enhance capabilities for rapid sequencing and bioinformatics to target regions of the genome that will allow specificity for a particular variant.,Enhance capability for rapid sequencing and bioinformatics to target regions of the genome that will allow specificity for a particular variant or clade or strain
DiagnosticsSurveillance,Topic,18,"Enhance capacity (people, technology, data) for sequencing with advanced analytics for unknown pathogens, and explore capabilities for distinguishing naturally-occurring pathogens from intentional.",
DiagnosticsSurveillance,Topic,19,"One Health surveillance of humans and potential sources of future spillover or ongoing exposure for this organism and future pathogens, including both evolutionary hosts (e.g., bats) and transmission hosts (e.g., heavily trafficked and farmed wildlife and domestic food and companion species), inclusive of environmental, demographic, and occupational risk factors.",
InformationSharing,Topic,1,Methods for coordinating data-gathering with standardized nomenclature.,data information collection and gathering with standard or standardized  or classification
InformationSharing,Topic,2,"Sharing response information among planners, providers, and others.","Sharing or publishing or communicating response to pandemic or outbreak among government or planners, health care providers or systems"
InformationSharing,Topic,3,Understanding and mitigating barriers to information-sharing.,sharing information and data freely no barriers
InformationSharing,Topic,4,"How to recruit, support, and coordinate local (non-Federal) expertise and capacity relevant to public health emergency response (public, private, commercial and non-profit, including academic).",
InformationSharing,Topic,5,Integration of federal/state/local public health surveillance systems.,Integrating coordinating collaborate federal local state health medical surveillance and detection systems
InformationSharing,Topic,6,Value of investments in baseline public health response infrastructure preparedness,Investing or investment or spending in basic or baseline public health system or infrastructure to prepare
InformationSharing,Topic,7,"Modes of communicating with target high-risk populations (elderly, health care workers).","Communicating, reaching, speaking or targeting old age, elderly, senior at home or in nursing homes or to health care workers, nurses, doctors, professionals or emergency care"
InformationSharing,Topic,8,Risk communication and guidelines that are easy to understand and follow (include targeting at risk populations’ families too).,Risk information communication guidelines instructions simple easy to understand comprehend and follow target at risk population persons family
InformationSharing,Topic,9,Communication that indicates potential risk of disease to all population groups.,
InformationSharing,Topic,10,Misunderstanding around containment and mitigation.,Addressing misunderstanding or miscommunication about containment or mitigation measures or policies
InformationSharing,Topic,11,"Action plan to mitigate gaps and problems of inequity in the Nation’s public health capability, capacity, and funding to ensure all citizens in need are supported and can access information, surveillance, and treatment.",
InformationSharing,Topic,12,Measures to reach marginalized and disadvantaged populations. Data systems and research priorities and agendas incorporate attention to the needs and circumstances of disadvantaged populations and underrepresented minorities,Measures and policies to reach target communicate to minorities poor disadvantaged people or population. Data and information systems attend to needs of under represented people or persons 
InformationSharing,Topic,13,"Mitigating threats to incarcerated people from COVID-19, assuring access to information, prevention, diagnosis, and treatment.",Mitigate contain prevent disease outbreak among prisoners inmate incarcerated in prison jails or lockups or detention
InformationSharing,Topic,14,"Understanding coverage policies (barriers and opportunities) related to testing, treatment, and care",
EthicsSocial,Topic,1,Efforts to articulate and translate existing ethical principles and standards to salient issues in COVID-2019,Current or existing ethical or moral principles or policies or standards or guidelines or practices for health care 
EthicsSocial,Topic,2,"Efforts to embed ethics across all thematic areas, engage with novel ethical issues that arise and coordinate to minimize duplication of oversight",Use or implement ethical principles or guidelines and oversight across multiple organizations or areas and dealing with new or novel ethical or moral issues or problems across 
EthicsSocial,Topic,3,"Efforts to support sustained education, access, and capacity building in the area of ethics",Support and promote ethics ethical and moral education capacity and capability
EthicsSocial,Topic,4,Efforts to establish a team at WHO that will be integrated within multidisciplinary research and operational platforms and that will connect with existing and expanded global networks of social sciences.,Multi discipline or disciplinary integrated team at WHO or world health organization for research and operations connect connected to global network of social scientist science
EthicsSocial,Topic,5,"Efforts to develop qualitative assessment frameworks to systematically collect information related to local barriers and enablers for the uptake and adherence to public health measures for prevention and control. This includes the rapid identification of the secondary impacts of these measures. (e.g. use of surgical masks, modification of health seeking behaviors for SRH, school closures)",adoption of public health measures and mitigation and social behaviour modification mask use
EthicsSocial,Topic,6,Efforts to identify how the burden of responding to the outbreak and implementing public health measures affects the physical and psychological health of those providing care for Covid-19 patients and identify the immediate needs that must be addressed.,
EthicsSocial,Topic,7,"Efforts to identify the underlying drivers of fear, anxiety and stigma that fuel misinformation and rumor, particularly through social media.",
